,Date,PriceBit
0,2022-01-01,47686.8125
1,2022-01-02,47345.21875
2,2022-01-03,46458.117188
3,2022-01-04,45897.574219
4,2022-01-05,43569.003906
5,2022-01-06,43160.929688
6,2022-01-07,41557.902344
7,2022-01-08,41733.941406
8,2022-01-09,41911.601563
9,2022-01-10,41821.261719
10,2022-01-11,42735.855469
11,2022-01-12,43949.101563
12,2022-01-13,42591.570313
13,2022-01-14,43099.699219
14,2022-01-15,43177.398438
15,2022-01-16,43113.878906
16,2022-01-17,42250.550781
17,2022-01-18,42375.632813
18,2022-01-19,41744.328125
19,2022-01-20,40680.417969
20,2022-01-21,36457.316406
21,2022-01-22,35030.25
22,2022-01-23,36276.804688
23,2022-01-24,36654.328125
24,2022-01-25,36954.003906
25,2022-01-26,36852.121094
26,2022-01-27,37138.234375
27,2022-01-28,37784.332031
28,2022-01-29,38138.179688
29,2022-01-30,37917.601563
30,2022-01-31,38483.125
31,2022-02-01,38743.273438
32,2022-02-02,36952.984375
33,2022-02-03,37154.601563
34,2022-02-04,41500.875
35,2022-02-05,41441.164063
36,2022-02-06,42412.433594
37,2022-02-07,43840.285156
38,2022-02-08,44118.445313
39,2022-02-09,44338.796875
40,2022-02-10,43565.113281
41,2022-02-11,42407.9375
42,2022-02-12,42244.46875
43,2022-02-13,42197.515625
44,2022-02-14,42586.917969
45,2022-02-15,44575.203125
46,2022-02-16,43961.859375
47,2022-02-17,40538.011719
48,2022-02-18,40030.976563
49,2022-02-19,40122.15625
50,2022-02-20,38431.378906
51,2022-02-21,37075.28125
52,2022-02-22,38286.027344
53,2022-02-23,37296.570313
54,2022-02-24,38332.609375
55,2022-02-25,39214.21875
56,2022-02-26,39105.148438
57,2022-02-27,37709.785156
58,2022-02-28,43193.234375
59,2022-03-01,44354.636719
60,2022-03-02,43924.117188
61,2022-03-03,42451.789063
62,2022-03-04,39137.605469
63,2022-03-05,39400.585938
64,2022-03-06,38419.984375
65,2022-03-07,38062.039063
66,2022-03-08,38737.269531
67,2022-03-09,41982.925781
68,2022-03-10,39437.460938
69,2022-03-11,38794.972656
70,2022-03-12,38904.011719
71,2022-03-13,37849.664063
72,2022-03-14,39666.753906
73,2022-03-15,39338.785156
74,2022-03-16,41143.929688
75,2022-03-17,40951.378906
76,2022-03-18,41801.15625
77,2022-03-19,42190.652344
78,2022-03-20,41247.824219
79,2022-03-21,41077.996094
80,2022-03-22,42358.808594
81,2022-03-23,42892.957031
82,2022-03-24,43960.933594
83,2022-03-25,44348.730469
84,2022-03-26,44500.828125
